id,stemmed
137,"['penasaran', 'bbm', 'ber', 'etanol', 'aman', 'mesin', 'mobil', 'baca', 'fakta', 'standar', 'kualitas', 'blog', 'biofuel', 'etanol', 'energiterbarukan', 'bbm']"
138,"['etanol', 'sejarah', 'manfaat', 'rencana', 'terap', 'indonesia']"
139,"['info', 'guna', 'kendara', 'standar', 'etanol', 'bbm', 'ubah', 'update', 'baru', 'bahas', 'blog', 'baca', 'etanol', 'bbm', 'indonesia', 'transisienergi']"
140,"['singkong', 'tebu', 'etanol', 'domestik', 'bbm', 'indonesia', 'simak', 'peluang', 'tantang', 'tulis', 'biofuel', 'etanol', 'energinusantara', 'bbm']"
141,"['bbm', 'etanol', 'bikin', 'mesin', 'efisien', 'boros', 'yuk', 'cari', 'fakta', 'artikel', 'bbmindonesia', 'efisiensi', 'kendara']"
142,"['konflik', 'agraria', 'deforestasi', 'risiko', 'bijak', 'etanol', 'peduli', 'ajar', 'artikel', 'deforestasi', 'haktanah', 'ngo']"
143,"['ahh', 'orang', 'etanol']"
144,"['kendara', 'keluar', 'pakai', 'artikel', 'bahas', 'kompatibilitas', 'rekomendasi', 'mobil', 'bbm', 'teknologiotomotif']"
145,"['pria', 'etanol', 'cocok', 'kalo', 'celupin', 'obong', 'indo']"
146,"['mantap', 'hebat', 'timor', 'leste', 'kalo', 'produksi', 'mesin', 'spek', 'etanol', 'air']"
147,"['transisi', 'bbm', 'ramah', 'lingkung', 'mata', 'arah', 'simak', 'ulas', 'blog', 'energihijau', 'biofuel', 'bbm']"
148,"['bayangin', 'bau', 'minyak', 'jelantah', 'campur', 'etanol']"
149,"['campur', 'aspek', 'mutu', 'kompatibilitas', 'kendara', 'regulasi', 'pasti', 'paham', 'spbu', 'bbmindonesia', 'etanol', 'infomobil']"
150,"['aaaa', 'benerr', 'ihh', 'mimpi', 'allah', 'bia', 'sdi', 'chat', 'jihyo', 'blekping', 'unnie', 'oke', 'unnie', 'kirim', 'bengsing', 'etanol', 'yha', 'aja', 'hihi', 'papa', 'jshsh', 'sabar', 'ketmu', 'unni']"
151,"['menteri', 'esdm', 'bahlil', 'saran', 'program', 'etanol', 'jalan']"
152,"['etanol', 'kurang', 'impor', 'bbm', 'indonesia', 'bantu', 'tani', 'lokal', 'temu', 'jawab', 'artikel', 'baru', 'energi', 'bioetanol', 'indonesiamaju', 'sustainability']"
153,"['energi', 'hijau', 'adil', 'masyarakat', 'adat', 'baca', 'alam', 'nyata', 'kritik', 'masyarakat', 'sipil', 'etanol', 'energihijau', 'bioetanol', 'keadilanlingkungan']"
154,"['menteri', 'esdm', 'bahlil', 'saran', 'program', 'etanol', 'jalan']"
155,"['regulasi', 'aspek', 'teknis', 'etanol', 'bbm', 'indonesia', 'rangkum', 'cek', 'bbm', 'kedaulatanenergi', 'biofuel']"
156,"['tahu', 'perintah', 'wajib', 'bbm', 'campur', 'etanol', 'yuk', 'tahu', 'standar', 'dampak', 'artikel', 'baru', 'etanol', 'bbmindonesia', 'energihijau']"
157,"['lord', 'etanol', 'saweet', 'ivankov', 'sanggup', 'nangani']"
158,"['bahlil', 'cinta', 'etanol', 'cinta']"
159,"['bahlil', 'etanol', 'puncak', 'komedi']"
160,"['hlul', 'etanol', 'bad', 'day', 'work', 'gamau', 'merinding']"
161,"['pucuk', 'sawit', 'botol', 'etanol', 'gelas', 'asam', 'sulfat']"
162,"['najonggggggf', 'omong', 'omong', 'nunggu', 'word', 'etanol', 'nnti', 'tag']"
163,"['bahll', 'etanol', 'next']"
164,"['info', 'bahlil', 'etanol']"
165,"['geli', 'rekomen', 'bahlil', 'etanol', 'ketawa', 'kenceng']"
166,"['plss', 'req', 'inisial', 'etanol', 'pecah', 'anjinggg', 'ketawa']"
167,"['happy', 'birthday', 'adhim', 'sehat', 'bahagia', 'moga', 'bebas', 'rambut', 'nasi', 'ayam', 'geprek', 'byk', 'tepung', 'banding', 'daging', 'makan', 'lengkuas', 'bentuk', 'rendang', 'selamat', 'toko', 'qris', 'apa', 'mana', 'smg', 'selamat', 'pertalite', 'kandung', 'etanol']"
168,"['istilah', 'gasohol', 'acu', 'bensin', 'campur', 'etanol', 'nama', 'pengaruh', 'nyata', 'performa', 'mesin', 'ajar', 'detail', 'gasohol', 'teknologibbm', 'otomotifindonesia']"
169,"['etanol', 'tingkat', 'nilai', 'oktan', 'efek', 'efisiensi', 'bahan', 'bakar', 'hemat', 'simak', 'bahas', 'lengkap', 'artikel', 'oktan', 'efisiensibbm', 'faktaotomotif']"
170,"['pertalite', 'campur', 'etanol', 'bahlil', 'pancen', 'tolol']"
171,"['pantun', 'pertalite', 'campur', 'etanol', 'bahlil', 'pancen', 'tolol']"
172,"['fandom', 'jelma', 'etanol']"
173,"['nemu', 'sign', 'post', 'bahlul', 'hidup', 'jok', 'sawit', 'etanol', 'biji', 'org', 'indo', 'main', 'wwm']"
174,"['bahlil', 'kontol', 'sumpahin', 'mati', 'sedak', 'etanol']"
175,"['karung', 'buka', 'isi', 'etanol']"
